来源,时间,公司规模,英文名字,中文名字,公司简称,法人,成立日期,注册资本(万元）,联系人,联系人职位,职位名称,最低工资,最高工资,工资范围,招人数,工作经验 （年数）,学历要求,行业,公司经营地址,经营范围
58Job,2021-08-09,1-49人,,义乌市酷丁电子商务商行,优控电气,王鹏,2013-04-08,100万人民币,,,外贸跟单,5000,10000,5000-10000元/月,招2人,"经验不限,可接收应届生",本科,电子技术/半导体/集成电路+原材料和加工+其他行业,章阁路爱立基工业园B1栋6楼,一般经营项目是：温度控制器、测量及控制仪器、工业自动化控制设备、制冷暖通空调系统控制设备、环境测量与监控设备、汽车电子控制设备、照明器材及控制设备的技术开发与销售；国内贸易，货物和技术进出口。（法律、行政法规或者国务院决定禁止和规定在登记前须经批准的项目除外），许可经营项目是：温度控制器、测量及控制仪器、工业自动化控制设备、制冷暖通空调系统控制设备、环境测量与监控设备、汽车电子控制设备、照明器材及控制设备的生产。
58Job,2021-08-09,1-49人,,深圳市铄研科技有限公司,精诚致远科技,罗艳萍,2016-06-12,100万人民币,,,外贸业务员,,,薪资面议,招若干,经验不限,大专,电子技术/半导体/集成电路,深圳宝安新安35区塘坊花园一巷,一般经营项目是：电子产品、安防监控产品、数码产品、智能家居用品、LED产品、移动电源、通讯产品、五金配件、工艺礼品、珠宝首饰，服饰鞋帽、箱包、 SMT设备及配件、手机和电脑周边产品的研发与销售，国内贸易，货物及技术进出口。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：
,2021-08-05,0-20人,,深圳市微冠商贸有限公司,微冠,唐春江,2017-02-22,100万人民币,,销售经理,外贸助理,6000,7000,6-7K,-,1年以内,大专,贸易/进出口,深圳福田区雷圳大厦,一般经营项目是：通讯产品、手机周边配件的销售；国内贸易；经营进出口业务。，许可经营项目是：
58Job,2021-08-09,1-49人,,深圳市斯米汇电子材料有限公司,斯米汇,袁道彬,2014-08-27,20万人民币,,,外贸专员,5000,10000,5000-10000元/月,招2人,经验不限,大专,互联网/电子商务+贸易/进出口+原材料和加工,广东省深圳市光明区公明西田利豪科技园,一般经营项目是：承接照明工程；二类医疗器械产品的销售；国内贸易；货物及技术进出口。，许可经营项目是：粘胶制品、塑料薄膜、光学材料、电子材料、五金配件、电子产品、灯饰及配件、照明产品、安全防护产品的技术研发和生产及销售；
58Job,2021-08-09,1-49人,,深圳市杜科实业有限公司,杜科实业,王利聪,2016-12-16,50万人民币,,,外贸业务助理,5000,10000,5000-10000元/月,招3人,3-5年,大专,贸易/进出口+陶瓷卫浴+批发/零售,深圳宝安沙井步涌大润科技大厦8411,一般经营项目是：经营电子商务（涉及前置性行政许可的，须取得前置性行政许可文件后方可经营）；家居用品、水暖卫浴、五金制品、家居建材产品、五金工具、电子产品、家电用品、休闲运动产品、景观工艺品、计算机数码产品及其周边配件的研发与销售；陶瓷制品、机电设备及配件、机械产品、电工器材、塑胶产品的设计与销售；日用口罩、医用口罩、医用酒精、防护镜、防护服、橡胶手套、体温计、额温枪、消毒液、喷雾器具、洗手液的销售；二类医疗器械的销售；经济信息咨询（不含信托、证券、期货、保险及它金融业务）；国内贸易，货物及货物进出口。(法律、行政法规、国务院决定规定在登记前须经批准的项目除外），许可经营项目是：
58Job,2021-08-09,1-49人,,深圳市协恩塑胶制品有限公司,协恩,黄瀚升,2006-06-28,50万人民币,,,外贸助理/跟单,,,薪资面议,招2人,1-2年,高中,其他行业,深圳龙岗五联协平爱联工业区一号厂房,一般经营项目是：国内贸易；货物及技术进出口。，许可经营项目是：塑胶、五金、电子产品的产销；普通货运。
58Job,2021-08-09,1-49人,,深圳市嘉普旺科技有限公司,环亚东升,常亚东,2014-11-20,100万人民币,,,外贸业务双休6k+提成,6000,12000,6000-12000元/月,招5人,3-5年,大专,贸易/进出口+互联网/电子商务,广东省深圳市沙井沙头创智空间商务中心718,一般经营项目是：机械、五金、电子产品周边的非标零配件、体育活动器械、锻炼身体器械、射箭用器具、箭弓、体育用品周边产品的销售；通用体育器械的研发与销售；国内贸易，货物及技术进出口。（法律、行政法规或者国务院决定禁止和规定在登记前须经批准的项目除外），许可经营项目是：
58Job,2021-08-09,1-49人,,深圳市安伏利科技有限公司,,蔡荣,2021-04-25,100万人民币,,,月薪过万急招外贸业务员,5000,8000,5000-8000元/月,招6人,经验不限,学历不限,其他行业,深圳市光明区马田街道薯田埔社区第四工业区埃迪蒙托工业园栋302,一般经营项目是：新能源产品、LED灯具照明、LED电源、开关电源、计算机软硬件的研发；从事广告业务；信息网络工程技术开发；多媒体视频技术开发；经营电子商务（涉及前置性行政许可的，须取得前置性行政许可文件后方可经营）；电子元器件批发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动），许可经营项目是：电子元器件制造；计算机软硬件及外围设备制造。
58Job,2021-08-09,1-49人,,深圳锐晟贸易有限公司,锐晟贸易,毛国荣,2011-03-30,1000万人民币,,,英文翻译及外贸业务员,5000,10000,5000-10000元/月,招2人,经验不限,学历不限,其他行业,广东省深圳市宝安区中裕冠大道3号,一般经营项目是：计算机软硬件技术开发、销售及上门维修（不含限制项目）。从事计算机系统集成、通信网络、移动设备终端、通信基站及相关科技专业领域内的技术开发、技术咨询、技术服务，电子产品、光电产品、通信设备的销售，自有设备的租赁;数据库开发及管理；（不含专营、专控、专卖商品)。(依法须经批准的项目，经相关部门批准后方可开展经营活动) ;供应链管理服务。(除依法 须经批准的项目外，凭营业执照依法自主开展经营活动)； 电子产品再生资源的收购、储存、分拣、打包、销售，航空国际货物运输代理;陆路国际货物运输代理;国际货物运输代理。国内贸易及经营进出口业务：（法律、行政法规、国务院决定规定在登记前须经批准的项目除外），许可经营项目是：仓储服务。对涉密磁记录设备的消磁及对涉密硬盘盘片和涉密存储数据设备的物理粉碎;
58Job,2021-08-09,1-49人,,深圳市鸿益织带有限公司,鸿益织带,梁敏贤,2011-04-27,100万人民币,,,诚聘外贸业务员,5000,7000,5000-7000元/月,招5人,"1-2年,可接收应届生",大专,贸易/进出口,深圳龙岗街道新生低山北路10号,一般经营项目是：货物及技术进出口；国内贸易。，许可经营项目是：织带、粘扣带、魔术贴、松紧带、尼龙布、涤纶布料的生产加工及销售；胶粘制品、塑胶制品、五金制品、环保包装材料的生产加工及销售；运动护具、医用护具生产加工及销售。
58Job,2021-08-09,1-49人,,深圳市华本文具有限公司,华本文具,苏立润,2007-05-25,50万人民币,,,外贸销售+包住五险6K起,6000,12000,6000-12000元/月,招5人,经验不限,学历不限,贸易/进出口,深圳市龙岗区新木老村工业区1路5号3楼,一般经营项目是：文具、礼品的购销（象牙及其制品除外）及其他国内商业、物资供销业（不含专营、专控、专卖商品）；经营进出口业务。，许可经营项目是：文具、礼品的生产与加工（象牙及其制品除外）；医疗器械的销售。
58Job,2021-08-09,1-49人,,深圳市像素之光科技有限公司,像素之光,康敏,2015-06-04,100万人民币,,,外贸销售业务员+五险一金,5000,7000,5000-7000元/月,招3人,"1年以下,可接收应届生",大专,贸易/进出口+电子技术/半导体/集成电路,深圳宝安石岩明金海工业园综合楼7楼,一般经营项目是：LED像素灯、LED灯条、LED照明产品、发光二极管、LED电源、控制器、电子产品、五金配件的技术开发与销售；口罩（非医用）、劳保用品的销售；货物及技术进出口。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：二类医疗器材、防护服、测温仪、医用口罩的销售；LED像素灯、LED灯条、LED照明产品、发光二极管、LED电源、控制器、电子产品、五金配件、口罩（非医用）、劳保用品的生产。
58Job,2021-08-09,1-49人,,深圳市盛飞达精密模具有限公司,艾普维,阳征亮,2017-01-09,50万人民币,,,应届生外贸业务员+高提成,5000,10000,5000-10000元/月,招5人,"经验不限,可接收应届生",大专,贸易/进出口,后亭地铁站厚德群创意文化创业园11栋201号,一般经营项目是：电子产品、数码产品、电子烟、包装制品、五金制品、塑胶制品、五金配件、不锈钢配件、工艺品、玩具、皮具表带、陶瓷制品、办公用品的研发及销售；预灌封注射器、玻璃制品、玻璃器皿、医疗科技领域内的技术研发、技术咨询、技术服务、技术转让及销售；国内贸易，货物及技术进出口。(法律、行政法规、国务院决定规定在登记前须经批准的项目除外），许可经营项目是：电子雾化器的销售。
58Job,2021-08-09,100-499人,,深圳市恒荣包装材料有限公司,激埃特,黄小红,2008-12-24,1000万人民币,,,五险包住急聘外贸业务员,8000,15000,8000-15000元/月,招6人,经验不限,学历不限,原材料和加工,深圳市龙岗区宝龙工业城锦龙一路八号深长岗科技园C栋2楼,一般经营项目是：光电产品、光学元件的技术开发和购销；电子产品、光学介质薄膜滤片的生产加工；国内贸易（法律、行政法规、国务院决定规定在登记前须经批准的项目除外）；货物进出口、技术进出口（法律、行政法规禁止的项目除外；法律、行政法规限制的项目须取得许可后方可经营）。，许可经营项目是：
58Job,2021-08-09,50-99人,,深圳市创新达电子科技有限公司,创新达,陈明森,2003-06-12,50万人民币,,,招外贸业务员可应届生,4500,8000,4500-8000元/月,招2人,1年以下,大专,贸易/进出口+电子技术/半导体/集成电路,深圳福田华强北佳和大厦B座1811,一般经营项目是：电子产品的技术开发与销售，国内商业、物资供销业；经营进出口业务。，许可经营项目是：
58Job,2021-08-09,50-99人,,前海凤鸣（深圳）教育管理有限公司,宠干线,林伟杰,2012-08-14,100万人民币,,,外贸业务员,6000,8000,6000-8000元/月,招1人,经验不限,大专,批发/零售,深圳罗湖深华商业大厦1014-1015,一般经营项目是：从事宠物服装、宠物食品、宠物用品、宠物饲料、服装及饰物的批发及零售、进出口及相关配套业务（不涉及国营贸易管理商品，涉及配额、许可证管理及其它专项规定管理的商品，按国家有关规定办理申请）；企业管理咨询、经济信息咨询；宠物零售；以特许经营的方式从事商业活动（涉及行政许可的，凭许可证件经营）。（企业经营涉及前置性行政许可的，须取得前置性行政许可文件后方可经营），许可经营项目是：无
58Job,2021-08-09,1-49人,,深圳市辉煌劳务派遣有限公司,,张明明,2021-03-10,100万人民币,,,外贸专员+五险+年底旅游,10000,18000,10000-18000元/月,招10人,"经验不限,可接收应届生",大专,其他行业,中国广东省深圳市宝安区松岗街道松白路37-1,一般经营项目是：皮箱包，女包，旅行袋，化妆包，饮具，服饰，礼品的设计，销售。，许可经营项目是：皮箱包，女包，旅行袋，化妆包，饮具，服饰，礼品的生产。
58Job,2021-08-09,1-49人,,深圳市合顺昌能源有限公司,合顺昌,武同峰,2013-10-21,200万人民币,,,高薪诚聘外贸业务员,8000,12000,8000-12000元/月,招3人,经验不限,大专,贸易/进出口,深圳龙华龙华中心区金碧世家,一般经营项目是：电池、电源、塑胶、五金、工具、数码产品、充电器、电子产品、小家电、手机数码产品、电动玩具电源、航模电源、移动电源、通讯产品、电动工具及电池包的技术开发、销售，国内贸易、货物及技术进出口。(法律、行政法规禁止的项目除外；法律、行政法规限制的项目须取得许可后方可经营），许可经营项目是：电池、电源、塑胶、五金、工具、数码产品、充电器、电子产品、小家电、手机数码产品、电动玩具电源、航模电源、移动电源、通讯产品、电动工具及电池包的生产加工。
,2021-08-08,20-99人,,深圳市京虹创科技有限公司,京虹创科技,曹海鲸,2014-07-01,50万人民币,余女士,开发主管,产品开发专员 接受应届生 亚马逊外贸,5000,10000,5-10K,-,经验不限,大专,贸易/进出口,深圳市 龙岗区 京南工业区 6B栋603室,一般经营项目是：从事货物与及技术进出口、国内贸易；日用百货、宠物日用品、玩具、服装及其配件、饰品及其配件、美容护肤品、美妆配件、围巾、帽、泳衣、内衣、鞋、袜、腰带、电子产品、数码产品、数码配件、眼镜（不含隐形眼镜）、工艺品（象牙及其制品除外）、美容美发用具、皮具、小五金、针纺织品、雨具、手套、箱包及其配件、办公用品、汽车日用品、喜庆日用品、家居日用品、床上用品、家具、陶瓷制品、灯具、厨房用具、玻璃制品、服装辅料、纸制品（不含出版物）、卫浴洁具、塑料制品、母婴日用品（不含食品）、茶具、化妆品（不含危险化学品）、包装材料、运动器材的销售及批发。（法律、行政法规禁止的项目除外；法律、行政法规限制的项目须取得许可后方可经营），许可经营项目是：
58Job,2021-08-09,1-49人,,深圳市启创品牌策划科技有限公司,,潘艳,2020-09-07,200万人民币,,,南联旁边招内外贸销售,8000,16000,8000-16000元/月,招5人,经验不限,学历不限,互联网/电子商务+广告/创意,广东省深圳市龙岗区龙岗大道龙岗段5003号,一般经营项目是：网络技术的开发;经营电子商务;计算机软硬件技术开发;商标注册代理;知识产权代理;搜索引擎优化。，许可经营项目是：视频及动漫视频制作，网站建设;经营性互联网信息服务。
58Job,2021-08-09,1-49人,,深圳市速能特科技有限公司,速能特,孙南权,2014-07-31,100万人民币,,,外贸业务专员欢迎应届生,5000,10000,5000-10000元/月,招8人,"经验不限,可接收应届生",大专,原材料和加工,深圳宝安福永华丰智谷福海科技产业园A432(福永地铁站B出口）,一般经营项目是：印刷设备、印刷耗材、热转印设备、转印材料、印花技术的开发、销售;货物及技术进出口;口罩、防护服、额温枪、护目镜的销售（需取得二类医疗器械经营备案后方可经营），许可经营项目是：
58Job,2021-08-09,50-99人,,深圳市华冠光电科技有限公司,华冠光电,舒海霞,2012-04-12,2000万人民币,,,LED灯具外贸销售代表,8000,15000,8000-15000元/月,招3人,1-2年,本科,家具灯饰+其他行业,深圳光明新区白花社区第二工业区百艺盛大厦12楼,一般经营项目是：LED照明灯具、灯饰、光电产品、半导体产品、LED配件、电源产品、五金产品、电子产品的技术开发与销售；国内贸易；货物及技术进出口。（以上均不含再生资源回收经营及法律、行政法规、国务院决定规定在登记前须经批准的项目）LED紫外线杀菌灯、LED紫外消毒灯的研发、销售。，许可经营项目是：LED照明灯具、光电产品、半导体产品、LED配件的生产。一类、二类、三类医疗器械产品的研发与销售；LED紫外线杀菌灯、LED紫外消毒灯的生产。
58Job,2021-08-09,1-49人,,深圳市金跃达电子有限公司,,覃章宝,2019-02-25,500万人民币,,,外贸业务员+包吃住,4500,9000,4500-9000元/月,招2人,"经验不限,可接收应届生",学历不限,电子技术/半导体/集成电路,深圳宝安沙井大王山工业二路1号1312,一般经营项目是：电子产品的技术开发与销售；国内贸易、货物及技术进出口。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：
58Job,2021-08-09,50-99人,,深圳市安厦重工有限公司,安厦重工,杨伟玲,2015-05-07,2000万人民币,,,外贸专员8k-10k,8000,12000,8000-12000元/月,招3人,经验不限,学历不限,钢铁/机械/设备/重工,深圳市宝安区石岩街道石龙仔石环路金马大厦安厦D栋4楼,一般经营项目是：机械式停车设备的设计、研发、租赁及销售；智能车行及人行通道、一卡通系统的研发及销售；交通设施、地坪漆工程施工，钢构件、门窗、五金配件、钢材及金属材料（不含废旧金属）的销售；房屋租赁；园林机械、电动修枝剪销售。(法律、行政法规、国务院决定规定在登记前须经批准的项目除外；涉及行政许可的，须取得行政许可文件后方可经营）货物及技术的进出口业务，许可经营项目是：智能车行及人行通道、一卡通系统的生产；钢构件、门窗、五金配件、钢材及金属材料（不含废旧金属）的生产、加工；园林机械、电动修枝剪加工、生产
58Job,2021-08-09,100-499人,,深圳市驰博达科技有限公司,驰博达,石荣海,2013-11-12,50万人民币,,,外贸业务员2年以上经验,6000,10000,6000-10000元/月,招5人,1-2年,本科,互联网/电子商务,深圳龙岗坂田上雪科技园丰客隆购物广场楼上驰博达科技,一般经营项目是：国内贸易；货物及技术进出口。，许可经营项目是：牙刷、牙及牙床清洁用吸水器、电动牙刷、牙刷盒、电动牙刷替换头、清洁牙齿用牙间毛刷、梳、睫毛刷、化妆刷、牙刷（非电动）家用电动按摩装置、 医用喷雾器、医疗器械和仪器、 足部按摩设备、个人用按摩器械、眼部按摩仪、振动按摩设备、按摩器械（医用）、 按摩器械、 振动按摩器、酿造机器、 电动制饮料机、制食品用电动机械、电动榨汁机、搅拌机、绞肉机（机械）、食品包装机、家用电动榨水果机、混合机（机器）、磨粉机（机器）、香烟嘴、烟斗、香烟盒、鼻烟壶、 烟灰缸、卷烟纸、除香精油外的电子香烟用调味品、吸烟用打火机、电子香烟烟液、电子香烟送货用三轮脚踏车、自行车踏板、自行车车把、电动自行车、助力车、自行车车铃、机动自行车、电动三轮车、电动代步车（行动迟缓人使用）、自行车、运动用饮水瓶、饮水杯、杯、日用搪瓷塑料器皿（包括盆、碗、盘、壶、杯）、茶具（餐具）、搅拌用杯、饮用器皿、家用器皿、家用非电动榨水果器、 厨房用具、小家电、小风扇、吹风机的生产加工及销售。
58Job,2021-08-09,1-49人,,深圳市福瑞诺科技有限公司,福瑞诺,李超,2017-08-21,500万人民币,,,外贸业务员+英语四级,5000,10000,5000-10000元/月,招2人,1年以下,大专,其他行业,深圳宝安后亭沙井街道允昌集团二楼（深圳福瑞诺科技有限公司）,一般经营项目是：计算机软硬件的技术开发、销售及技术服务；企业管理咨询、企业营销咨询、医疗器械技术信息咨询；经营电子商务（涉及前置性行政许可的，须取得前置性行政许可文件后方可经营）；国内外贸易、货物及技术进出口业务（不含专营、专控、专卖商品）；电子产品的研发；二类医疗器械（不含体外诊断试剂）的销售。，许可经营项目是：电子产品、数码产品及周边配件的生产。医疗器械的生产与销售。(法律、行政法规、国务院决定规定在登记前须经批准的项目除外）。
58Job,2021-08-09,1-49人,,深圳源高科技有限公司,源高科技,王守伟,2018-06-22,10万人民币,,,急招外贸业务员1万以上,5000,10000,5000-10000元/月,招5人,经验不限,学历不限,互联网/电子商务,布龙路元芬科创园E栋307,一般经营项目是：电脑及周边配件的研发、设计和销售；经营电子商务；汽车及其用品、电子产品、数码产品、办公用品、工艺礼品（象牙及其制品除外）的销售；国内贸易，从事货物及技术的进出口业务。（企业经营涉及前置性行政许可的，须取得前置性行政许可文件后方可经营），许可经营项目是：
58Job,2021-08-09,1-49人,,深圳市奥斯利电子商务有限公司,,陈海波,2020-05-18,100万人民币,,,外贸业务员+五险包吃住,5000,10000,5000-10000元/月,招10人,"1-2年,可接收应届生",中专,贸易/进出口,中国广东省深圳市龙华区观湖街道佳华领域广场,一般经营项目是：经营电子商务;国内贸易；服装类销售; 货物及技术进出口业务；电子产品的技术开发与销售，网络平台的技术开发以及维护.，许可经营项目是：无
58Job,2021-08-09,1-49人,,深圳市伟力创实业有限公司,伟力创,高金花,2019-04-29,50万人民币,,,外贸助理,,,薪资面议,招2人,1年以下,大专,原材料和加工,深圳宝安区松岗街道艺展四路8号满京华盈硕商务大厦1109,一般经营项目是：五金制品、五金零配件、注塑制品、钣金制品、自动化产品、电子产品、模具的研发与销售；国内贸易；货物及技术进出口。（法律、行政法规或者国务院决定禁止和规定在登记前须经批准的项目除外），许可经营项目是：
58Job,2021-08-09,100-499人,,深圳市合盛创杰科技有限公司,维西,骆禄进,2011-06-14,50万人民币,,,外贸跟单,,,薪资面议,招1人,经验不限,学历不限,原材料和加工,深圳宝安沙井新沙路鑫鑫田工业园11栋1楼,一般经营项目是：塑胶模具、五金模具、压铸模具、塑胶制品的销售；国内贸易，货物及技术进出口。（法律、行政法规或者国务院决定禁止和规定在登记前须经批准的项目除外），许可经营项目是：塑胶模具、五金模具、压铸模具、塑胶制品的生产。
58Job,2021-08-09,1-49人,,深圳市丽彩礼品包装有限公司,丽彩,彭利军,2016-01-22,200万人民币,,,外贸业务员,5000,10000,5000-10000元/月,招2人,经验不限,大专,其他行业,深圳市坪山区坪山街道坪山办事处六和社区高思特工业区第2栋3楼,一般经营项目是：不干胶纸，pvc盒，胶袋，胶壳，圣诞工艺品配件，绒布材料的研发与销售；国内贸易；货物及技术进出口。（不含专营、专卖、专控商品；法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：星星花、卷卷花、工艺礼品花、机械设备的研发、加工与销售。
58Job,2021-08-09,1-49人,,深圳市宝安区优牌优品化妆品店,杜科实业,王利聪,2016-12-16,50万人民币,,,沙井急聘外贸助理+五险,5000,10000,5000-10000元/月,招3人,经验不限,大专,贸易/进出口+陶瓷卫浴+批发/零售,深圳宝安沙井步涌大润科技大厦8411,一般经营项目是：经营电子商务（涉及前置性行政许可的，须取得前置性行政许可文件后方可经营）；家居用品、水暖卫浴、五金制品、家居建材产品、五金工具、电子产品、家电用品、休闲运动产品、景观工艺品、计算机数码产品及其周边配件的研发与销售；陶瓷制品、机电设备及配件、机械产品、电工器材、塑胶产品的设计与销售；日用口罩、医用口罩、医用酒精、防护镜、防护服、橡胶手套、体温计、额温枪、消毒液、喷雾器具、洗手液的销售；二类医疗器械的销售；经济信息咨询（不含信托、证券、期货、保险及它金融业务）；国内贸易，货物及货物进出口。(法律、行政法规、国务院决定规定在登记前须经批准的项目除外），许可经营项目是：
58Job,2021-08-09,100-499人,,深圳市健润佳药房,然一晓,冯映妮,2019-10-18,10万人民币,,,外贸专员招聘双休,4000,6000,4000-6000元/月,招3人,经验不限,学历不限,生物/制药/医疗器械,深圳龙华观澜新华大厦,一般经营项目是：生物制品、网络技术、电子产品、通信与自动控制技术的研发；生物技术的技术咨询服务；企业管理咨询；计算机的技术开发；计算机零配件的批发、技术服务；医疗器械的技术开发；市场营销策划；企业形象策划；企业营销策划；经济信息咨询；化妆品、卫生用品的销售；信息技术咨询；国内贸易；从事广告业务；会议展览服务。（以上项目法律、行政法规、国务院决定规定在登记前须经批准的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：
58Job,2021-08-09,50-99人,,超星娱乐文化传媒有限公司,宇灵,吕井忠,2011-10-19,500万人民币,,,周末双休外贸业务员,6000,9000,6000-9000元/月,招33人,经验不限,大专,其他行业,广东省深圳市龙岗区新生路沿河路2号,一般经营项目是：工艺礼品（象牙及其制品除外）、包装材料、包装制品、办公用品、母婴产品、宠物产品、家居用品、电子产品、数码产品、智能产品、日用百货、工艺品（象牙及其制品除外）、钟表、眼镜、化妆品、纺织品及配件、箱包及配件、时尚配饰、服装、假发、美发产品、口罩、防护服、手套、洗手液、酒精，湿纸巾、防护面罩、护目镜、额温枪的设计、研发、购销（需取得二类医疗器械经营备案后方可经营）；国内贸易（法律、行政法规、国务院决定禁止和规定在登记前须经批准的项目除外）；货物及技术进出口。，许可经营项目是：包装袋和包装饰品的生产加工；
58Job,2021-08-09,1-49人,,深圳市富明虹电子有限公司,富明虹,周双双,2015-08-13,100万人民币,,,外贸业务员五险一金,6000,12000,6000-12000元/月,招5人,经验不限,学历不限,贸易/进出口+电子技术/半导体/集成电路,宝安区沙井街道南环路蚝市街9号,一般经营项目是：电子产品、服装、五金、塑胶、接插件、电线、电缆、仪器仪表（不含计量器具）、模具机械、高低压电器及电子配件的研发与销售；国内贸易，货物及技术进出口。(法律、行政法规、国务院决定规定在经营前须经批准的项目除外），许可经营项目是：连接器、塑胶制品、五金制品的生产与销售；高清视频HDMI连接器、网络接口RJ连接器、耳机座、DC电源座、锂电池座、开关、按键等五金塑胶电子元件的开发与生产。
58Job,2021-08-09,1-49人,,深圳真功夫餐饮投资有限公司石岩创维分公司,,张晓美,2020-01-06,""",",,,扫地机外贸销售,6000,12000,6000-12000元/月,招1人,1年以下,大专,其他行业,深圳宝安石岩塘头社区中运泰工业园9栋6层,一般经营项目是：空气净化器、电器产品、水处理设备、模具、扫地机器人、智能控制器、电子产品、电子元器件、电子按摩器，美容美妆及皮肤护理仪器的销售、研发：；各种机械电子器具及其控制器的软硬件设计、开发、技术服务及销售；水处理设备的技术咨询与维修、技术开发及技术转让；网络科技开发（不含互联网上网服务）；机械设备、电子产品、皮具、纺织品、建材、模具的销售；货物进出口、技术进出口。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：空气净化器、电器产品、水处理设备、模具、扫地机器人、智能控制器、电子产品、电子元器件、电子按摩器，美容美妆及皮肤护理仪器的生产；预包装食品（不含冷藏冷冻食品）、保健食品的销售。
58Job,2021-08-09,50-99人,,深圳市易唯科技有限公司,乔纳斯,郭耸林,2014-09-20,100万人民币,,,外贸专员（6000包吃),5000,10000,5000-10000元/月,招6人,"1年以下,可接收应届生",高中,互联网/电子商务,深圳龙岗区龙岗区龙城街道龙平西路4号志达工业园1栋5楼,一般经营项目是：计算机系统集成；经营电子商务。，许可经营项目是：汽车车载用品、电子产品、安防监控设备及周边产品的技术开发、购销、生产与加工；
58Job,2021-08-09,50-99人,,深圳市创新达电子科技有限公司,创新达,陈明森,2003-06-12,50万人民币,,,外贸业务员可接受应届生,,,薪资面议,招4人,"经验不限,可接收应届生",大专,贸易/进出口+电子技术/半导体/集成电路,深圳福田华强北佳和大厦B座1811,一般经营项目是：电子产品的技术开发与销售，国内商业、物资供销业；经营进出口业务。，许可经营项目是：
58Job,2021-08-09,100-499人,,深圳市京田精密科技有限公司,京田精密,吴春谅,2012-12-07,500万人民币,,,外贸业务员（周末双休）,5000,10000,5000-10000元/月,招15人,3-5年,大专,原材料和加工+出版/印刷/造纸,中粮祥云国际大厦2栋3606,一般经营项目是：一类医疗器械的销售；非标车削件、各类DIN标准车件、精密冲压件、精密模具配件、精密模具的销售；国内贸易、货物进出口、技术进出口(以上涉及法律、行政法规、国务院决定规定在登记前须经批准的项目除外；法律、行政法规、国务院决定规定在开业或者使用前经审批的，取得有关审批文件后方可经营；铝材、钢材、铜材、铁材等金属材料、五金制品的销售。橡胶制品、塑料制品的销售。，许可经营项目是：一类医疗器械的生产；非标车削件、各类DIN标准车件、精密冲压件、精密模具配件、精密模具的生产加工；机器设备的研发生产及销售；生活类小商品的生产及销售。
58Job,2021-08-09,100-499人,,深圳市万家照明有限公司,万家照明,李飞,2008-04-16,100万人民币,,,外贸业务员五险一金+补助,10000,15000,10000-15000元/月,招1人,"经验不限,可接收应届生",大专,电子技术/半导体/集成电路,深圳龙岗区平湖街道富民工业区芳坑路100号,一般经营项目是：照明设备的技术开发、生产加工、销售；国内贸易（法律、行政法规、国务院决定规定在登记前须经批准的项目除外）；货物进出口、技术进出口（法律、行政法规禁止的项目除外；法律、行政法规限制的项目须取得许可后方可经营）。，许可经营项目是：
58Job,2021-08-09,1-49人,,深圳市杰帝兴业科技有限公司,杰帝兴业,刘运良,2010-11-23,50万人民币,,,光明外贸业务员高薪应届,5000,10000,5000-10000元/月,招5人,"经验不限,可接收应届生",大专,电子技术/半导体/集成电路,广东省深圳市光明区河堤路新中泰科技园,一般经营项目是：鼠标、键盘、音箱、优盘、读卡器、摄像头、耳机、线材、温控器、电源适配器的技术开发、生产与销售；国内贸易，货物及技术进出口。（法律、行政法规、国务院决定规定在登记前须经批准的项目除外），许可经营项目是：
58Job,2021-08-09,1-49人,,北京鸿运融侨商贸有限公司,鸿益织带,梁敏贤,2011-04-27,100万人民币,,,龙岗诚聘外贸业务员,4500,9000,4500-9000元/月,招3人,"经验不限,可接收应届生",大专,贸易/进出口,深圳龙岗街道新生低山北路10号,一般经营项目是：货物及技术进出口；国内贸易。，许可经营项目是：织带、粘扣带、魔术贴、松紧带、尼龙布、涤纶布料的生产加工及销售；胶粘制品、塑胶制品、五金制品、环保包装材料的生产加工及销售；运动护具、医用护具生产加工及销售。
58Job,2021-08-09,1-49人,,深圳威仕麦电子有限公司,速能特,孙南权,2014-07-31,100万人民币,,,外贸业务专员月入10K+,6000,12000,6000-12000元/月,招若干人,经验不限,大专,原材料和加工,深圳宝安福永华丰智谷福海科技产业园A432(福永地铁站B出口）,一般经营项目是：印刷设备、印刷耗材、热转印设备、转印材料、印花技术的开发、销售;货物及技术进出口;口罩、防护服、额温枪、护目镜的销售（需取得二类医疗器械经营备案后方可经营），许可经营项目是：
